theme,count,type
Body Image,8,Themes felt (all questions)
Social Media Influence,8,Themes felt (all questions)
Gym Intimidation,8,Themes felt (all questions)
Intrinsic Motivation,8,Themes felt (all questions)
Past Athletic Identity,8,Themes felt (all questions)
Positive Self Image,8,Themes felt (all questions)
Time Constraints,7,Themes felt (all questions)
Social Support,7,Themes felt (all questions)
Autonomy Preference,7,Themes felt (all questions)
Cost Access,6,Themes felt (all questions)
Mental Health,6,Themes felt (all questions)
Nutrition Energy,3,Themes felt (all questions)
Low Motivation,3,Themes felt (all questions)
Lack Of Knowledge,2,Themes felt (all questions)
Extrinsic Motivation,1,Themes felt (all questions)
Time Constraints,5,Barrier named (Q16)
Cost Access,5,Barrier named (Q16)
Low Motivation,1,Barrier named (Q16)
Nutrition Energy,1,Barrier named (Q16)
Body Image,0,Barrier named (Q16)
Intrinsic Motivation,0,Barrier named (Q16)
Social Support,0,Barrier named (Q16)
Extrinsic Motivation,0,Barrier named (Q16)
Gym Intimidation,0,Barrier named (Q16)
Autonomy Preference,0,Barrier named (Q16)
Mental Health,0,Barrier named (Q16)
Past Athletic Identity,0,Barrier named (Q16)
Positive Self Image,0,Barrier named (Q16)
Social Media Influence,0,Barrier named (Q16)
Lack Of Knowledge,0,Barrier named (Q16)
