participant,question,answer,themes,theme_count,sentiment,summary_tag,theme_time_constraints,theme_body_image,theme_social_media_influence,theme_lack_of_knowledge,theme_low_motivation,theme_gym_intimidation,theme_social_support,theme_nutrition_energy,theme_cost_access,theme_mental_health,theme_positive_self_image,theme_intrinsic_motivation,theme_extrinsic_motivation,theme_autonomy_preference,theme_past_athletic_identity,question_short,participant_short,jitter
Interview 3.txt,Q3. How does scrolling through content on social media make you feel?,Scrolling through social media makes the interviewee feel 'absent-minded and like I'm not really experiencing anything'.,social_media_influence,1,-1.0,absent-minded feeling,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Q3: Social media feelings,3 Melanie,-0.03763796434579125
Interview 4.txt,Q3. How does scrolling through content on social media make you feel?,Scrolling through social media makes the interviewee laugh and allows them to catch up with friends.,social_media_influence,1,1.0,social media positivity,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Q3: Social media feelings,4,0.13521429192297482
Interview 5a.txt,Q3. How does scrolling through content on social media make you feel?,"Scrolling through social media makes the interviewee feel like they want to travel and feel behind in life, but they also use it as a way to relax. As they said, 'it's a way to relax/a reward, but afterwards, I find myself comparing.'","social_media_influence, body_image",2,-1.0,social comparison,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Q3: Social media feelings,5a,0.06959818254342154
Interview 5b.txt,Q3. How does scrolling through content on social media make you feel?,"Scrolling through social media makes the interviewee feel good, builds dopamine, and is emotionally captivating.","social_media_influence, positive_self_image",2,2.0,social media positivity,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Q3: Social media feelings,5b,0.029597545259110986
J Interview.txt,Q3. How does scrolling through content on social media make you feel?,"The interviewee experiences a range of emotions, including happiness, sadness, and everything in between.",social_media_influence,1,0.0,mixed emotions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Q3: Social media feelings,Jainil Interview,-0.10319440786726905
K Interview.txt,Q3. How does scrolling through content on social media make you feel?,"The interviewee's feelings depend on the platform; YouTube is used for infotainment, while Instagram is for mindless fun, with 15-20 minutes spent scrolling through their feed and the rest on the explore page.",social_media_influence,1,0.0,neutral social media,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Q3: Social media feelings,Kamdyn Interview,-0.1032016438991392
Q Interview.txt,Q3. How does scrolling through content on social media make you feel?,Scrolling through social media makes the interviewee feel like they are too dependent on technology and social media for gratification.,"social_media_influence, mental_health",2,-1.0,technology dependence,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Q3: Social media feelings,Quealls Interview,-0.13257491634954016
T Interview.txt,Q3. How does scrolling through content on social media make you feel?,"The interviewee feels a mix of emotions, including anticipation and distraction, due to social media's design to activate their dopamine circuitry, making them feel like they're wasting time but also getting some valuable content.",social_media_influence,1,-1.0,mixed emotions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Q3: Social media feelings,Tony Interview,0.10985284373248053
Interview 3.txt,Q7. How would you describe your relationship with your body currently?,The interviewee describes their relationship with their body as 'neutral enough' but is constantly trying to improve.,body_image,1,0.0,neutral body image,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Q7: Relationship with body,3 Melanie,0.03033450352296263
Interview 4.txt,Q7. How would you describe your relationship with your body currently?,The interviewee describes their current relationship with their body as 'good'.,"body_image, positive_self_image",2,2.0,body positivity,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Q7: Relationship with body,4,0.06242177333881366
Interview 5a.txt,Q7. How would you describe your relationship with your body currently?,"The interviewee describes their relationship with their body as 'negative' and expresses dissatisfaction with their current physical shape, mentioning struggles with overindulgence in food and a mental game where their body is seen as a reward.","body_image, mental_health",2,-2.0,body dissatisfaction,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Q7: Relationship with body,5a,-0.14382465171125927
Interview 5b.txt,Q7. How would you describe your relationship with your body currently?,The interviewee describes their relationship with their body as abusive and neglectful.,"body_image, mental_health",2,-2.0,abusive body relationship,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Q7: Relationship with body,5b,0.14097295564859827
J Interview.txt,Q7. How would you describe your relationship with your body currently?,The interviewee feels great about their body.,"positive_self_image, body_image",2,2.0,body positivity,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Q7: Relationship with body,Jainil Interview,0.09973279224012652
Q Interview.txt,Q7. How would you describe your relationship with your body currently?,The interviewee is fine with how they look but acknowledges they could improve by eating less.,body_image,1,0.0,body acceptance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Q7: Relationship with body,Quealls Interview,-0.08629826679651716
T Interview.txt,Q7. How would you describe your relationship with your body currently?,Brief response: The interviewee describes their current relationship with their body as 'pretty good'.,"body_image, positive_self_image",2,1.0,positive body image,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Q7: Relationship with body,Tony Interview,-0.09545250983786982
